symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
AT,202,2.5,0.2,0.15,0.25,90,90,2.45,0.366250087824919,0.374619079463659,0.243927391261536
PBR,202,10,1.1,1.1,1.14,335,1549,10.04,0.322341119351549,0.377828746949168,0.9764086251693
SCCO,20,37,2.9,2.85,3.1,1,2,39.759998,0.227018885202833,0.354790576520509,2.84265001701869
AME,20,70,0.05,0,0.05,100,100,66.040001,0.108841448156464,0.151070882012337,0.00661299963709383
CIO,20,10,2.41,3.3,4.1,10,7,13.77,0.106718586957495,1.3964530460689,3.77
GLOG,139,15,2.15,2.8,3.1,70,127,17.450001,0.278222333508818,0.397897445870239,2.7380909844445
MULE,48,20,1.6,1.35,1.6,35,67,20.139999,0.249215983539069,0.52739133137917,0.795520134529495
MCO,111,80,44.5,59.05,60.05,10,10,139.210007,0.077246797453955,0.627846283427559,59.210007
KEY,34,19.5,0.19,0.24,0.3,1930,1930,18.82,0.22694460553708,0.247595204672381,0.257320442815399
BG,475,85,3.95,3.6,4.4,1500,0,69.459999,0.247643742472281,0.297467012327676,3.00805152925743
CRR,48,9,0.85,0.7,0.85,20,91,8.63,0.542818669224869,0.806240555113755,0.52173434363567
CAH,6,66.5,0.8,0.75,1,5,15,66.919998,0.173977219816594,0.226224968966457,0.827114662950002
TSE,139,70,4.25,3.2,3.8,10,16,67.099998,0.160400979430102,0.303863832065632,1.49914277865434
SRE,20,135,0.05,0,0.1,3,13,114.129997,0.123820173364617,0.365807954383258,1.99917823679788e-09
RIG,20,10.5,0.54,0.54,0.57,6010,6617,10.76,0.490907705765193,0.430831352326867,0.628028087281154
NEWR,48,45,4.79,5.6,6.2,3,5,49.799999,0.233099987022712,0.475212373870431,5.02482684834113
SRT,139,15,0.3,0,0.85,100,106,11.75,0.332336418497036,0.640248367833243,0.155139382612055
SWK,20,110,32.66,39.9,42.8,3,0,150.970001,0.123687707175678,1.1155973239004,40.970001
TDS,48,22.5,5.73,5.2,5.8,20,19,27.889999,0.244301550558807,0.575217103457858,5.39560830535473
SWX,20,85,0.75,0.05,3.9,2,0,77.620003,0.132513561401025,0.921389135531785,0.0012378565291474
ARC,230,7.5,0.1,0,0.2,50,50,4.09,0.320207251997422,0.689672809375518,0.00397368585568562
